username,user_id,email,user_role,ip_address,device_type,action,session_id,session_period,timestamp,is_sensitive_action,is_failed_action
admin,user-3,admin@hospital.com,admin,192.168.1.138,desktop,view_patient_record,session-xs0cs3z25,30,2025-10-16T17:34:37.725Z,0,0
admin,admin,admin@hospital.com,manager,210.5.32.130,desktop,click_nav_audit_logs_header,session_1760662582812_0wopa9hpx,6,2025-10-16T14:02:27.404Z,1,0
admin,admin,admin@hospital.com,manager,210.5.32.130,desktop,navigate_/admin/behavior-profiles_to_/admin/activity,session_1760662582812_0wopa9hpx,6,2025-10-16T14:02:27.114Z,1,0
admin,admin,admin@hospital.com,manager,210.5.32.130,desktop,click_nav_behavior_profiles_header_dropdown,session_1760662582812_0wopa9hpx,6,2025-10-16T14:02:25.856Z,0,0
admin,admin,admin@hospital.com,manager,210.5.32.130,desktop,navigate_/admin/activity_to_/admin/behavior-profiles,session_1760662582812_0wopa9hpx,6,2025-10-16T14:02:25.565Z,1,0
admin,admin,admin@hospital.com,manager,210.5.32.130,desktop,page_view_unified_admin_dashboard,session_1760662582812_0wopa9hpx,5,2025-10-16T14:02:16.103Z,1,0
admin,admin,admin@hospital.com,manager,210.5.32.130,desktop,user_login,session_1760662582812_0wopa9hpx,5,2025-10-16T14:02:15.693Z,1,0
dung,dung,dung@hospital.com,offline_access,210.5.32.130,desktop,page_view_user_dashboard_dung,session_1760662903914_h50jejvpa,30,2025-10-16T14:02:04.047Z,0,0
dung,dung,dung@hospital.com,offline_access,210.5.32.130,desktop,click_nav_dashboard_header,session_1760662903914_h50jejvpa,30,2025-10-16T14:02:03.744Z,0,0
dung,dung,dung@hospital.com,offline_access,210.5.32.130,desktop,navigate_/dung/records_to_/dung,session_1760662903914_h50jejvpa,30,2025-10-16T14:02:03.438Z,0,0
dung,dung,dung@hospital.com,offline_access,210.5.32.130,desktop,page_view_medical_records,session_1760662903914_h50jejvpa,30,2025-10-16T14:02:03.106Z,0,0
dung,dung,dung@hospital.com,offline_access,210.5.32.130,desktop,click_nav_records_header,session_1760662903914_h50jejvpa,30,2025-10-16T14:02:02.819Z,0,0
dung,dung,dung@hospital.com,offline_access,210.5.32.130,desktop,navigate_/dung/financial_to_/dung/records,session_1760662903914_h50jejvpa,30,2025-10-16T14:02:02.521Z,1,0
dung,dung,dung@hospital.com,offline_access,210.5.32.130,desktop,page_view_financial_data,session_1760662903914_h50jejvpa,30,2025-10-16T14:02:02.136Z,1,0
dung,dung,dung@hospital.com,offline_access,210.5.32.130,desktop,click_nav_financial_header,session_1760662903914_h50jejvpa,30,2025-10-16T14:02:01.792Z,1,0
dung,dung,dung@hospital.com,offline_access,210.5.32.130,desktop,navigate_/dung/lab-results_to_/dung/financial,session_1760662903914_h50jejvpa,30,2025-10-16T14:02:01.518Z,1,0
dung,dung,dung@hospital.com,offline_access,210.5.32.130,desktop,click_nav_lab_results_header,session_1760662903914_h50jejvpa,30,2025-10-16T14:02:01.001Z,0,0
dung,dung,dung@hospital.com,offline_access,210.5.32.130,desktop,navigate_/dung/prescriptions_to_/dung/lab-results,session_1760662903914_h50jejvpa,30,2025-10-16T14:02:00.677Z,0,0
dung,dung,dung@hospital.com,offline_access,210.5.32.130,desktop,page_view_prescriptions,session_1760662903914_h50jejvpa,30,2025-10-16T14:02:00.322Z,0,0
dung,dung,dung@hospital.com,offline_access,210.5.32.130,desktop,click_nav_prescriptions_header,session_1760662903914_h50jejvpa,30,2025-10-16T14:01:59.924Z,0,0
dung,dung,dung@hospital.com,offline_access,210.5.32.130,desktop,navigate_/dung_to_/dung/prescriptions,session_1760662903914_h50jejvpa,30,2025-10-16T14:01:59.609Z,0,0
dung,dung,dung@hospital.com,offline_access,210.5.32.130,desktop,page_view_user_dashboard_dung,session_1760662903914_h50jejvpa,30,2025-10-16T14:01:58.225Z,0,0
dung,dung,dung@hospital.com,offline_access,210.5.32.130,desktop,page_view_home,session_1760662903914_h50jejvpa,30,2025-10-16T14:01:57.916Z,0,0
