username,user_id,email,user_role,ip_region,hour,device_type,action,session_period,risk_score,risk_level,timestamp,is_weekend,is_business_hours,is_sensitive_action,is_failed_action,session_length_category
nurse_057,nurse_057,nurse_057@hospital.com,nurse,Nigeria,4,desktop,page_view_prescriptions,10,0.3,medium,2025-08-27T04:23:32.867040,False,False,False,False,short
doctor_019,doctor_019,doctor_019@hospital.com,doctor,Australia,18,new,access_patient_record,21,0.55,high,2025-08-28T18:08:14.867040,False,False,False,False,short
doctor_012,doctor_012,doctor_012@hospital.com,doctor,Vietnam,3,desktop,policy_violation,29,0.55,high,2025-08-28T03:07:37.867040,False,False,False,False,short
nurse_054,nurse_054,nurse_054@hospital.com,nurse,Australia,13,desktop,page_view_medical_records,51,0.3,medium,2025-09-02T13:55:56.867040,False,True,False,False,medium
nurse_044,nurse_044,nurse_044@hospital.com,nurse,UK,5,mobile,access_patient_record,110,0.25,medium,2025-09-13T05:54:07.867040,True,False,False,False,medium
nurse_041,nurse_041,nurse_041@hospital.com,nurse,US,17,desktop,page_view_prescriptions,8,0.35,medium,2025-09-11T17:21:46.867040,False,True,False,False,short
accountant_074,accountant_074,accountant_074@hospital.com,accountant,India,12,desktop,click_nav_financial_header,4,0.4,medium,2025-09-08T12:51:38.867040,False,True,False,False,short
guest_093,guest_093,guest_093@hospital.com,guest,Canada,17,mobile,page_view_dashboard,11,0.4,medium,2025-09-04T17:41:15.867040,False,True,False,False,short
nurse_055,nurse_055,nurse_055@hospital.com,nurse,Vietnam,4,mobile,click_nav_medical_header,19,0.3,medium,2025-09-05T04:57:22.867040,False,False,False,False,short
doctor_016,doctor_016,doctor_016@hospital.com,doctor,Australia,4,mobile,page_view_medical_records,67,0.4,medium,2025-09-14T04:51:23.867040,True,False,False,False,medium
employee_077,employee_077,employee_077@hospital.com,employee,Brazil,11,mobile,page_view_home,12,0.4,medium,2025-09-13T11:22:01.867040,True,True,False,False,short
nurse_047,nurse_047,nurse_047@hospital.com,nurse,Australia,4,desktop,user_login,10,0.3,medium,2025-09-19T04:15:48.867040,False,False,False,False,short
